dba,boro,cuisine_group,has_critical,has_pest,n_violations,score,grade,pass
TROPICAL JADE 3 ROTI EXPRESS,Queens,Latin,Yes,Yes,1,11,A,Pass
M&M BAGELS AND CAFE,Queens,Other,Yes,Yes,4,47,C,Fail
SWEET CHICK,Manhattan,American,Yes,No,1,12,A,Pass
LUPITA MEXICAN RESTAURANT,Manhattan,Latin,Yes,Yes,1,14,B,Fail
COMMODORE II,Manhattan,American,No,No,1,11,A,Pass
DA VINCI PIZZA,Manhattan,Italian/Pizza,No,No,1,7,A,Pass
TASTE GOOD,Brooklyn,Asian,Yes,No,1,33,C,Fail
Pick-A-Bagel,Manhattan,Other,No,No,1,11,A,Pass
RANCHO TULCINGO RESTAURANT,Bronx,Latin,Yes,Yes,1,9,A,Pass
FRIEND RESTAURANT,Queens,Asian,Yes,No,1,7,A,Pass
JADE BAKERY,Brooklyn,Asian,Yes,Yes,1,17,B,Fail
COCO FRESH TEA & JUICE,Manhattan,Other,No,No,1,5,A,Pass
POPEYES,Bronx,American,No,No,1,12,A,Pass
HAWA SMOOTHIES & BUBBLE TEA,Manhattan,Other,No,Yes,1,13,A,Pass
BEANIE CAFE,Staten Island,American,Yes,Yes,1,9,A,Pass
CONOR'S GOAT,Manhattan,American,Yes,Yes,1,12,A,Pass
SOBOL,Staten Island,Other,Yes,No,1,12,A,Pass
SUBWAY,Brooklyn,American,No,Yes,2,18,B,Fail
G'S EATERY & BAKERY,Queens,Latin,Yes,Yes,1,27,B,Fail
MESIVTA EITZ CHAIM,Brooklyn,Other,Yes,No,1,7,A,Pass
AUGURS WELL,Manhattan,American,Yes,Yes,1,12,A,Pass
YAAD MAN THING,Brooklyn,Latin,Yes,Yes,1,19,B,Fail
STITCH BAR,Manhattan,American,No,No,1,8,A,Pass
COURTYARD BY MARRIOTT,Queens,American,Yes,Yes,1,12,A,Pass
OLMSTED CAFETERIA- KIOSK,Queens,American,Yes,No,1,13,A,Pass
TOST,Queens,American,Yes,Yes,1,61,C,Fail
LE CAFE COFFEE,Manhattan,Other,No,Yes,1,9,A,Pass
POPEYES,Staten Island,American,Yes,Yes,1,30,C,Fail
J'S ON THE BAY,Staten Island,American,No,No,1,12,A,Pass
STARBUCKS,Queens,Other,Yes,Yes,1,12,A,Pass
FIELDTRIP,Manhattan,American,No,Yes,1,13,A,Pass
KUMO JAPANESE CUISINE,Brooklyn,Asian,No,No,1,13,A,Pass
CHIENG GARDEN KITCHEN,Staten Island,Asian,Yes,Yes,3,27,B,Fail
CHAIRMAN SUN,Queens,Asian,Yes,Yes,2,61,C,Fail
PAPA JOHN'S,Brooklyn,Italian/Pizza,Yes,Yes,1,9,A,Pass
GRAND GREAT WALL,Queens,Asian,Yes,Yes,1,10,A,Pass
CHEN'S GARDEN,Staten Island,Asian,No,No,1,13,A,Pass
SMØR,Manhattan,Other,No,No,1,13,A,Pass
DILBAR INDIAN CUISINE,Queens,South Asian,Yes,Yes,2,8,A,Pass
CITI FIELD DOG FISH HEAD BAR,Queens,American,Yes,Yes,1,11,A,Pass
PISTICCI RESTAURANT,Manhattan,Italian/Pizza,Yes,Yes,1,11,A,Pass
CRAWFORDS CAFE,Brooklyn,Other,No,No,1,7,A,Pass
BARB'S,Brooklyn,American,Yes,Yes,1,9,A,Pass
BAOZI,Brooklyn,Asian,Yes,Yes,2,43,C,Fail
China Xing Kitchen,Queens,Other,Yes,No,1,9,A,Pass
ROAST,Manhattan,Other,No,Yes,1,19,B,Fail
BED-VYNE BREW,Brooklyn,Other,No,No,1,10,A,Pass
KUNGFU TEA,Staten Island,Other,No,No,1,12,A,Pass
SUBWAY,Staten Island,American,No,No,1,9,A,Pass
PAPA JOHN'S,Brooklyn,Italian/Pizza,No,Yes,1,12,A,Pass
SHAN,Brooklyn,Asian,Yes,Yes,1,13,A,Pass
LIN'S GARDEN,Brooklyn,Asian,No,No,2,24,B,Fail
GEORGIAN CORNER,Brooklyn,European,No,No,1,9,A,Pass
HAN DYNASTY,Manhattan,Asian,Yes,Yes,6,60,C,Fail
DUNKIN,Brooklyn,Other,No,No,1,12,A,Pass
DA VINCI PIZZA,Brooklyn,Italian/Pizza,No,No,1,12,A,Pass
NISH NUSH,Manhattan,Other,Yes,No,2,11,A,Pass
MARGHERITA PIZZA,Queens,Italian/Pizza,Yes,Yes,1,13,A,Pass
UBS EMA CAFÉ,Manhattan,American,Yes,No,1,9,A,Pass
NARUTO RAMEN,Manhattan,Asian,No,No,1,24,B,Fail
CHINA KING,Bronx,Asian,Yes,Yes,3,39,C,Fail
YEMENAT,Brooklyn,Other,Yes,Yes,4,31,C,Fail
TACOS PIZZA FAMILIA GUZMAN,Queens,Italian/Pizza,Yes,No,1,27,B,Fail
NO. 1 CHINA GARDEN KITCHEN,Bronx,Asian,Yes,Yes,2,41,C,Fail
CHINESE FRIED CHICKEN,Bronx,Asian,Yes,Yes,1,10,A,Pass
SILVER LIGHT TAVERN,Brooklyn,American,Yes,No,1,9,A,Pass
OLMSTED CAFETERIA,Queens,American,Yes,No,1,34,C,Fail
SPRING FOOD SPOT,Queens,American,Yes,Yes,2,16,B,Fail
SUBWAY,Brooklyn,American,No,No,1,13,A,Pass
LA TRAVIATA 2 PIZZERIA,Manhattan,Italian/Pizza,Yes,Yes,2,13,A,Pass
STARBUCKS COFFEE # 85552,Manhattan,Other,No,No,1,11,A,Pass
COPACABANA,Queens,Other,No,Yes,1,12,A,Pass
BEL AMI,Manhattan,Other,Yes,Yes,3,32,C,Fail
BAGELS & BREW,Queens,American,No,No,1,13,A,Pass
UKUS,Queens,European,No,Yes,1,13,A,Pass
ALLORA,Manhattan,Italian/Pizza,No,Yes,1,11,A,Pass
P & S DELI GROCERY,Manhattan,American,Yes,No,1,13,A,Pass
LENWICH,Manhattan,American,Yes,Yes,1,7,A,Pass
POPEYES,Brooklyn,American,No,No,1,2,A,Pass
CHA-AN TEAHOUSE,Manhattan,Asian,No,No,1,12,A,Pass
BOLIVIAN LLAMA PARTY,Queens,American,Yes,Yes,2,19,B,Fail
EL RANCHITO POBLANO RESTAURANT,Brooklyn,Latin,No,Yes,2,24,B,Fail
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Bronx,Latin,Yes,Yes,2,23,B,Fail
N25 NITRO TEA,Manhattan,Other,Yes,Yes,1,10,A,Pass
BURGERS ON B,Manhattan,American,No,Yes,1,13,A,Pass
WOLFGANG'S STEAK HOUSE,Manhattan,Other,No,No,1,12,A,Pass
LA ISLA,Brooklyn,American,No,No,1,8,A,Pass
J & J PIZZA,Brooklyn,Italian/Pizza,Yes,Yes,2,37,C,Fail
LIL FRANKIE'S GROCERY,Manhattan,American,No,Yes,1,9,A,Pass
GORY'S PLACE,Queens,American,No,Yes,1,12,A,Pass
KING OF FALAFEL & SHAWARMA,Queens,European,Yes,No,1,13,A,Pass
WHITE CASTLE,Bronx,American,Yes,Yes,1,12,A,Pass
LAS CONCHITAS BAKERY,Brooklyn,Latin,Yes,Yes,1,13,A,Pass
NOM,Manhattan,American,Yes,Yes,1,23,B,Fail
MASALAWALA & SONS,Brooklyn,South Asian,Yes,Yes,2,23,B,Fail
HUNGRY GHOST,Brooklyn,Other,Yes,No,1,8,A,Pass
GO BAGELS,Manhattan,Other,Yes,Yes,1,12,A,Pass
BAR CALICO,Manhattan,Other,No,No,1,4,A,Pass
STEP ON TOP TAKE OUT RESTAURANT,Brooklyn,Latin,No,No,1,13,A,Pass
HUB THAI,Manhattan,Asian,Yes,Yes,1,8,A,Pass
COCOTAZO,Manhattan,Latin,Yes,Yes,1,9,A,Pass
KUM FUNG KITCHEN,Staten Island,Asian,Yes,Yes,1,13,A,Pass
SPA CASTLE (CAFE & JUICE BAR),Queens,American,No,No,1,11,A,Pass
VEERAY DA DHABA,Manhattan,South Asian,Yes,No,1,12,A,Pass
LES ENFANTS DE BOHEME,Manhattan,European,Yes,Yes,1,9,A,Pass
MEXICAN DINER,Brooklyn,Latin,Yes,Yes,4,30,C,Fail
NAYA,Manhattan,Other,No,Yes,1,10,A,Pass
THE CAFE AT FOTOGRAFISKA,Manhattan,Other,Yes,No,1,9,A,Pass
HAPPI CONE ICE CREAM AND CAFE,Bronx,Latin,Yes,Yes,3,46,C,Fail
SOSAKU JAPANESE RESTAURANT,Brooklyn,Asian,No,No,1,25,B,Fail
CURRY FLAVOR,Manhattan,South Asian,No,No,1,10,A,Pass
DUNKIN DONUTS,Bronx,Other,No,Yes,2,22,B,Fail
ANGAAR,Manhattan,South Asian,Yes,Yes,2,46,C,Fail
FERRY HOUSE CAFE,Manhattan,Other,Yes,Yes,1,12,A,Pass
THE AVENUE,Queens,American,Yes,Yes,2,20,B,Fail
AL AQSA PARTY HALL,Bronx,Asian,No,Yes,2,12,A,Pass
SKY COFFEE SHOP,Queens,Other,No,No,1,7,A,Pass
CAFE BLESSING,Queens,Other,No,Yes,1,12,A,Pass
AGED,Queens,Other,Yes,Yes,1,13,A,Pass
CHAMPION PIZZA,Manhattan,Italian/Pizza,No,No,1,13,A,Pass
DUNKIN' / 'BASKIN ROBBINS,Queens,Other,No,No,1,10,A,Pass
T-SWIRL CREPE,Queens,Asian,Yes,Yes,1,22,B,Fail
MOMOCHAI,Queens,Asian,Yes,No,1,9,A,Pass
NUTRITIOUS CHINESE FOOD,Brooklyn,Asian,Yes,Yes,1,13,A,Pass
VENCHI Chocolate & Gelato,Manhattan,Other,No,No,1,7,A,Pass
FLORENCE  DINER,Queens,American,No,Yes,1,13,A,Pass
HAPPY DELI,Queens,American,Yes,No,1,12,A,Pass
CAVATAPPI,Brooklyn,Italian/Pizza,No,No,1,2,A,Pass
BOITHAK KHANA KITCHEN & SWEETS,Brooklyn,South Asian,No,No,1,13,A,Pass
SAKE BAR DECIBEL,Manhattan,Asian,No,No,1,2,A,Pass
MAMAN,Manhattan,European,Yes,No,1,12,A,Pass
CRAFT EMPANADAS BY S&R,Bronx,American,Yes,Yes,1,13,A,Pass
THINK COFFEE,Manhattan,Other,No,No,1,7,A,Pass
HEARTLAND BAGELS,Staten Island,Other,Yes,Yes,1,13,A,Pass
O'NEILL'S RESTAURANT & BAR,Staten Island,Other,Yes,Yes,1,20,B,Fail
EGGHOLIC,Queens,South Asian,Yes,No,1,11,A,Pass
STARBUCKS COFFEE #53473,Manhattan,Other,No,No,1,11,A,Pass
ICHIRAN TIMES SQUARE,Manhattan,Asian,Yes,Yes,1,12,A,Pass
EFFY'S CAFE,Manhattan,Other,Yes,No,1,12,A,Pass
Jamaica Breeze,Queens,Latin,Yes,No,1,13,A,Pass
FRESCO TORTILLERIA,Queens,Other,Yes,Yes,1,12,A,Pass
NEW GREAT WALL,Brooklyn,Asian,No,Yes,1,12,A,Pass
787 COFFEE,Manhattan,Other,Yes,Yes,2,40,C,Fail
CASA DEL SABOR,Brooklyn,Latin,Yes,Yes,1,12,A,Pass
CARLYLE GREEN POOL STAND,Staten Island,American,Yes,No,1,12,A,Pass
BAGELS AND CREAM,Bronx,Other,Yes,No,1,12,A,Pass
DOWNSTEIN DINING HALL @ NYU,Manhattan,American,No,Yes,1,11,A,Pass
CONNOLLY'S PUB,Manhattan,Italian/Pizza,No,Yes,1,11,A,Pass
DAVIDOVICH BAKERY,Manhattan,Other,Yes,No,1,13,A,Pass
BARESHA,Manhattan,Italian/Pizza,No,No,1,10,A,Pass
55 THOMAS CAFE,Brooklyn,American,Yes,No,1,13,A,Pass
PATRICIA'S,Bronx,Italian/Pizza,Yes,No,1,12,A,Pass
ME-DO DESSERTS,Brooklyn,Other,No,Yes,1,13,A,Pass
EL RINCONCITO DE LOS SABORES,Queens,Latin,No,Yes,2,21,B,Fail
LEGEND CHICKEN,Queens,American,Yes,No,1,12,A,Pass
POPEYES LOUISIANA KITCHEN,Queens,American,Yes,No,1,12,A,Pass
LA CARIDAD 72,Manhattan,Asian,No,No,1,13,A,Pass
PUNCH LINE JUICE BAR,Brooklyn,Other,Yes,No,1,10,A,Pass
GINJAN CAFE,Brooklyn,Other,No,No,1,13,A,Pass
MCDONALD'S,Brooklyn,American,Yes,No,1,10,A,Pass
LONG HING KITCHEN,Queens,Asian,No,Yes,2,25,B,Fail
DAVID'S BAKERY AND PIZZA,Brooklyn,Italian/Pizza,No,Yes,2,6,A,Pass
EL MEXICANO RESTAURANTE AND CAFE,Brooklyn,Latin,Yes,No,1,21,B,Fail
DIN SOUP DUMPLING,Brooklyn,Asian,No,No,1,7,A,Pass
SYLLA'S RESTAURANT,Manhattan,Other,Yes,Yes,1,13,A,Pass
JERSEY MIKE'S,Queens,American,No,No,1,7,A,Pass
ARETSKY'S PATROON,Manhattan,American,No,No,1,11,A,Pass
PARIS BAGUETTE,Manhattan,Other,No,No,1,26,B,Fail
EMPANADAS MIX,Queens,Latin,No,Yes,1,12,A,Pass
DUNKIN',Bronx,Other,Yes,No,1,6,A,Pass
"DUNKIN', BASKIN ROBBINS",Brooklyn,Other,Yes,Yes,1,9,A,Pass
ANTOJITOS DE SAN CECILIO,Queens,Latin,Yes,Yes,1,13,A,Pass
CYCLO,Queens,Asian,Yes,Yes,2,24,B,Fail
EL ENCANTO CENTRO-AMERICANO RESTAURANT,Queens,American,Yes,Yes,2,28,C,Fail
LIGHTHOUSE FISHMARKET,Manhattan,Other,Yes,Yes,1,13,A,Pass
NINJA JAPAN TERIYAKI,Queens,Asian,No,Yes,1,26,B,Fail
RU YI CHINESE RESTAURANT,Brooklyn,Asian,Yes,Yes,2,39,C,Fail
BEST PIZZA ON 1ST.,Manhattan,Italian/Pizza,No,No,1,12,A,Pass
SHANDAR SWEET & RESTAURANT,Brooklyn,South Asian,Yes,Yes,4,22,B,Fail
LA FLOR PIZZA,Brooklyn,Italian/Pizza,Yes,Yes,2,86,C,Fail
BROOKLYN PERK COFFEE,Brooklyn,Other,Yes,No,1,12,A,Pass
DUNKIN,Queens,Other,No,No,1,3,A,Pass
CAFE D'AVIGNON,Brooklyn,Other,No,No,1,7,A,Pass
CIPRIANI DOLCI,Manhattan,Italian/Pizza,Yes,Yes,3,35,C,Fail
AMBER STEAKHOUSE,Brooklyn,Other,No,No,1,13,A,Pass
COFFEE BAR / ATRIUM,Brooklyn,American,No,No,1,7,A,Pass
THE PICNIC BASKET,Manhattan,American,No,Yes,1,12,A,Pass
JANET'S PIZZA,Brooklyn,Italian/Pizza,No,Yes,1,13,A,Pass
NEW KAM LAI,Manhattan,Asian,No,No,1,12,A,Pass
ELECTRIC BURRITO,Manhattan,Latin,Yes,Yes,1,13,A,Pass
CAVA,Brooklyn,European,No,No,1,7,A,Pass
CARVEL,Bronx,Other,No,Yes,1,13,A,Pass
URUBAMBA,Queens,Other,No,Yes,3,38,C,Fail
DINASTIA EQUADORIAN FOOD,Queens,American,No,No,1,7,A,Pass
SUMMER SALT,Manhattan,Latin,No,Yes,1,9,A,Pass
NIEVES TIA MIMI ICES,Brooklyn,Latin,Yes,Yes,3,46,C,Fail
GOODAS BAR & LOUNGE,Brooklyn,Latin,Yes,Yes,1,12,A,Pass
MARSEILLE,Manhattan,European,Yes,No,1,28,C,Fail
KENNEDY CHICKEN AND HALAL EXPRESS,Bronx,American,No,No,1,13,A,Pass
JUST SALAD,Manhattan,Other,No,No,1,9,A,Pass
DUNKIN,Manhattan,Other,No,No,1,13,A,Pass
TIENDA GUATEMALTECA EL QUETZALITO,Brooklyn,American,Yes,Yes,5,53,C,Fail
"SEAN'S BAR & KITCHEN, REILLEY'S PLATES & POURS",Manhattan,American,Yes,Yes,3,24,B,Fail
OL'DAYS,Manhattan,Other,Yes,Yes,1,59,C,Fail
T-SWIRL CREPE,Queens,Other,No,Yes,1,22,B,Fail
JUST SALAD,Manhattan,Other,No,No,1,7,A,Pass
BLANK SLATE,Manhattan,American,Yes,No,1,11,A,Pass
THE ROCK RESTAURANT & DINER,Queens,Latin,Yes,No,1,11,A,Pass
A. CHURRASQUEIRA RESTAURANT,Queens,Other,No,No,1,7,A,Pass
ROPES & GRAY CAFE,Manhattan,American,No,No,1,10,A,Pass
TEMAKASE HANDROLL BAR,Manhattan,Asian,Yes,No,1,12,A,Pass
POPEYES,Queens,American,No,No,1,7,A,Pass
WEST NEW MALAYSIA RESTAURANT,Manhattan,Asian,Yes,No,1,19,B,Fail
CONNOLLY'S CORNER,Queens,Other,Yes,No,1,21,B,Fail
SUBWAY,Brooklyn,American,Yes,No,1,12,A,Pass
MARRIOTT MARQUIS PASTRY SHOP,Manhattan,Other,No,No,1,2,A,Pass
BLACK PRESS COFFEE,Manhattan,Other,No,No,1,9,A,Pass
AVOCADO,Staten Island,Asian,Yes,No,1,20,B,Fail
NOISETTE,Queens,European,Yes,Yes,5,48,C,Fail
BURGER URWAY,Brooklyn,American,Yes,Yes,2,22,B,Fail
TACOS MORELOS,Queens,Latin,Yes,Yes,1,12,A,Pass
JPAN SUSHI RESTAURANT,Brooklyn,Asian,No,No,1,11,A,Pass
AMSTERDAM ALE HOUSE,Manhattan,American,No,Yes,1,14,B,Fail
MCDONALD'S,Manhattan,American,No,No,1,7,A,Pass
UPSIDE PIZZA,Manhattan,Italian/Pizza,Yes,No,1,12,A,Pass
EAST CATERING & RESTAURANT,Queens,Asian,Yes,Yes,5,25,B,Fail
ZAAB ZAAB,Manhattan,Asian,No,No,1,13,A,Pass
CAFE GOURMAND,Staten Island,European,Yes,Yes,1,13,A,Pass
RED FLAME DINER,Manhattan,American,Yes,Yes,1,13,A,Pass
BROOKLYN FARMACY & SODA FOUNTAIN,Brooklyn,Other,Yes,Yes,1,12,A,Pass
FELLINI,Manhattan,Other,Yes,Yes,2,42,C,Fail
SANFORDS,Queens,American,No,No,1,10,A,Pass
AND BOTANI,Brooklyn,Other,No,No,1,13,A,Pass
MANOUSHEH,Manhattan,Other,Yes,Yes,1,11,A,Pass
BYUNG CHUN SOON DAE,Queens,Asian,Yes,Yes,4,78,C,Fail
CESTRAS PIZZA III,Bronx,Italian/Pizza,Yes,No,1,9,A,Pass
HALAL BUFFET,Queens,Other,Yes,Yes,1,13,A,Pass
WENDY'S,Manhattan,American,Yes,Yes,1,13,A,Pass
SIENA,Brooklyn,Other,No,No,1,4,A,Pass
JE T'AIME PATISSERIE,Brooklyn,Other,No,Yes,1,12,A,Pass
HEY YUET,Manhattan,Asian,Yes,Yes,1,10,A,Pass
TANDORICO,Queens,South Asian,Yes,Yes,3,49,C,Fail
BATHTUB GIN,Manhattan,American,No,Yes,1,13,A,Pass
EL MALECON RESTAURANT,Brooklyn,Latin,No,Yes,1,13,A,Pass
PRET A MANGER,Manhattan,American,No,No,1,5,A,Pass
LA LUPE,Brooklyn,Latin,Yes,Yes,1,7,A,Pass
TOMPKINS SQUARE BAGELS,Manhattan,Other,Yes,Yes,1,8,A,Pass
THE STINGER,Manhattan,American,Yes,Yes,3,22,B,Fail
G &L CAJUN GRILL,Queens,Asian,Yes,Yes,3,23,B,Fail
THE RESTAURANT AT GILDER,Manhattan,American,Yes,Yes,1,10,A,Pass
E SUSHI II,Brooklyn,Asian,Yes,No,1,12,A,Pass
KENNEDY FRIED CHICKEN,Queens,American,No,Yes,1,10,A,Pass
RANDY'S,Queens,Asian,Yes,No,1,7,A,Pass
OASIS JIMMA JUICE BAR,Manhattan,Other,Yes,Yes,2,19,B,Fail
MOLE,Manhattan,Latin,Yes,Yes,1,13,A,Pass
PARIS CAFE,Manhattan,European,Yes,No,1,13,A,Pass
THE LUXURY COLLECTION HOTEL (EMPLOYEE DININGN ROOM AND PASTRY),Manhattan,American,Yes,Yes,1,12,A,Pass
VIA BRASIL,Manhattan,Other,No,No,1,12,A,Pass
RED CHILLI,Queens,South Asian,Yes,Yes,2,27,B,Fail
THE ROXY HOTEL / THE DJANGO / PAUL'S COCKTAIL LOUNGE,Manhattan,American,Yes,Yes,1,13,A,Pass
WETZLE'S PRETZELS,Staten Island,Other,Yes,No,1,13,A,Pass
GO CUPS,Manhattan,Other,No,No,1,8,A,Pass
CHERRY VALLEY DELI & GRILL,Queens,American,Yes,Yes,2,32,C,Fail
ROAST&CO,Queens,Other,No,No,1,13,A,Pass
IPIZZANY,Manhattan,Italian/Pizza,Yes,Yes,1,27,B,Fail
MIGHTY QUINN'S BARBEQUE,Manhattan,Other,Yes,Yes,1,11,A,Pass
STARBUCKS COFFEE,Manhattan,Other,No,No,1,4,A,Pass
DELMONICO GOURMET,Manhattan,American,Yes,Yes,2,27,B,Fail
RANCH RESTAURANT,Bronx,Latin,Yes,No,1,26,B,Fail
STARBUCKS,Bronx,Other,Yes,Yes,1,13,A,Pass
THE COSMOPOLITAN CLUB,Manhattan,American,Yes,Yes,1,12,A,Pass
THE DART SPORTS BAR,Queens,American,Yes,Yes,1,19,B,Fail
CHINESE TUXEDO / PEACHY'S,Manhattan,Asian,Yes,No,2,12,A,Pass
LOUIE & ERNIE'S,Bronx,Italian/Pizza,Yes,No,1,9,A,Pass
ALLIGATOR LOUNGE,Brooklyn,Italian/Pizza,Yes,Yes,1,13,A,Pass
CHINA RED EXPRESS,Manhattan,Asian,No,No,1,10,A,Pass
AYADA THAI RESTAURANT,Queens,Asian,Yes,Yes,1,12,A,Pass
THE BROTHERS BAGELS,Brooklyn,Other,Yes,Yes,1,10,A,Pass
SUBWAY,Manhattan,American,No,No,1,11,A,Pass
NEW SARKURA JAPAN,Queens,Asian,Yes,Yes,2,12,A,Pass
ELMHURST FAMOUS PIZZA,Queens,Italian/Pizza,Yes,Yes,1,9,A,Pass
MORELOS DELI & FRUIT,Staten Island,Latin,No,No,1,12,A,Pass
NEW GRACE CHINESE RESTAURANT,Brooklyn,Asian,Yes,No,1,12,A,Pass
STARBUCKS COFFEE COMPANY,Staten Island,Other,Yes,Yes,1,13,A,Pass
SWEETBEE COFFEE,Brooklyn,Other,Yes,Yes,1,12,A,Pass
EMMONS PALACE,Brooklyn,Other,Yes,Yes,2,27,B,Fail
HAVANA SOCIAL,Manhattan,American,No,Yes,1,41,C,Fail
WANGJIA XIAOCHU,Brooklyn,Asian,Yes,Yes,2,27,B,Fail
CAFFE CORRETTO,Brooklyn,Other,Yes,Yes,1,13,A,Pass
EMERGENCY KITCHEN & BAR,Bronx,American,No,No,1,18,B,Fail
JAM.DOWN CARIBBEAN RESTAURANT,Brooklyn,Latin,Yes,No,1,18,B,Fail
BIRCH COFFEE,Manhattan,Other,No,No,1,12,A,Pass
NUR THAI,Queens,Asian,Yes,Yes,3,21,B,Fail
YUMPLING,Queens,Asian,No,No,1,13,A,Pass
THE STINGER,Manhattan,American,No,Yes,1,12,A,Pass
CAOBA,Brooklyn,American,No,No,1,8,A,Pass
CINNABON,Bronx,Other,Yes,No,1,5,A,Pass
KOSSAR'S - MISS WONTON DUMPLING,Manhattan,Other,No,No,1,8,A,Pass
ASTORIA COFFEE SHOP,Queens,Other,No,No,1,11,A,Pass
DUNKIN,Staten Island,Other,Yes,Yes,1,13,A,Pass
SERAFINA,Manhattan,Italian/Pizza,Yes,No,2,14,B,Fail
MEET WISE MEAT,Brooklyn,European,No,Yes,1,12,A,Pass
DUNKIN,Bronx,Other,No,No,1,0,A,Pass
CHIPOTLE MEXICAN GRILL,Manhattan,Other,No,No,1,10,A,Pass
CARBONE,Manhattan,Italian/Pizza,No,Yes,1,22,B,Fail
KAM HING CAFE,Manhattan,Other,No,No,1,13,A,Pass
EL POLLO INKA PERU,Queens,Other,No,No,1,23,B,Fail
CHECKERS,Queens,American,No,No,2,13,A,Pass
CHINGALE/ROAM,Manhattan,American,Yes,Yes,1,12,A,Pass
1480 HK CAFE,Queens,Asian,Yes,Yes,1,9,A,Pass
FATTY DADDY TACO,Brooklyn,Latin,No,No,1,11,A,Pass
OMAR'S MEDITERRANEAN CUISINE,Manhattan,European,No,No,1,3,A,Pass
HUNAN NOODLE,Queens,Asian,Yes,Yes,1,10,A,Pass
LENA'S ITALIAN KITCHEN,Manhattan,Italian/Pizza,Yes,Yes,2,23,B,Fail
TWIN GRILLS,Brooklyn,Latin,Yes,No,1,10,A,Pass
GONG CHA,Brooklyn,Other,No,Yes,1,4,A,Pass
DUNKIN' DONUTS,Manhattan,Other,No,No,1,11,A,Pass
MI PEQUENO RANCHITO RESTAURANT,Brooklyn,Latin,No,No,1,11,A,Pass
